OTU,PCR_control_2_OLD,S1_OLD,S6_OLD,PCR_control_3_OLD,PCR_contro_1_OLD,S3_OLD,S2_OLD,S5_OLD,S4_OLD,taxonomy
OTU2721,0,0,0,0,0,0,0,0,0,Unclassified
234951,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
310886,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
OTU3301,0,0,0,0,0,0,0,0,0,Unclassified
OTU2464,0,0,0,0,0,0,0,0,0,Unclassified
OTU3594,0,0,0,0,0,0,0,0,0,Unclassified
OTU683,0,0,0,0,0,0,0,0,0,Unclassified
OTU3456,0,0,0,0,0,0,0,0,0,Unclassified
OTU2717,0,0,0,0,0,0,0,0,0,Unclassified
OTU1831,0,0,0,0,0,0,0,0,0,Unclassified
OTU3070,0,0,0,0,0,0,0,0,0,Unclassified
OTU1846,0,0,0,0,0,0,0,0,0,Unclassified
OTU3473,0,0,0,0,0,0,0,0,0,Unclassified
4343981,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
OTU1470,0,0,0,0,0,0,0,0,0,Unclassified
OTU2562,0,0,0,0,0,0,0,0,0,Unclassified
OTU3081,0,0,0,0,0,0,0,0,0,Unclassified
OTU3873,0,0,0,0,0,0,0,0,0,Unclassified
366584,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU3739,0,0,0,0,0,0,0,0,0,Unclassified
177681,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU2865,0,0,0,0,0,0,0,0,0,Unclassified
OTU3950,0,0,0,0,0,0,0,0,0,Unclassified
OTU3829,0,0,0,0,0,0,0,0,0,Unclassified
OTU2020,0,0,0,0,0,0,0,0,0,Unclassified
OTU2573,0,0,0,0,0,0,0,0,0,Unclassified
OTU2509,0,0,0,0,0,0,0,0,0,Unclassified
918242,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
OTU1643,0,0,0,0,0,0,0,0,0,Unclassified
OTU3710,0,0,0,0,0,0,0,0,0,Unclassified
OTU2808,0,0,0,0,0,0,0,0,0,Unclassified
975306,2,0,0,2,1,0,0,2,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU1462,0,0,0,0,0,0,0,0,0,Unclassified
OTU1991,0,0,0,0,0,0,0,0,0,Unclassified
OTU1749,0,0,0,0,0,0,0,0,0,Unclassified
OTU2412,0,0,0,0,0,0,0,0,0,Unclassified
578310,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU2524,0,0,0,0,0,0,0,0,0,Unclassified
308786,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU3905,0,0,0,0,0,0,0,0,0,Unclassified
352304,0,0,0,0,1,0,0,0,1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
332527,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
560981,7,0,0,10,27,0,0,0,0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__
OTU3627,0,0,0,0,0,0,0,0,0,Unclassified
OTU2283,0,0,0,0,0,0,0,0,0,Unclassified
