OTU,S1_NEW,S4_NEW,S5_NEW,S3_NEW,PCR_control_1_NEW,PCR_control_2_NEW,PCR_control_3_NEW,S2_NEW,S6_NEW,taxonomy
OTU2721,0,0,0,0,0,0,0,0,0,Unclassified
OTU3456,0,0,0,0,0,0,0,0,0,Unclassified
531374,1,0,0,0,2,0,6,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
OTU3301,0,0,0,0,0,0,0,0,0,Unclassified
OTU2464,0,0,0,0,0,0,0,0,0,Unclassified
OTU2717,0,0,0,0,0,0,0,0,0,Unclassified
348065,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU3413,0,0,0,0,0,0,0,0,0,Unclassified
OTU1831,0,0,0,0,0,0,0,0,0,Unclassified
OTU3070,0,0,0,0,0,0,0,0,0,Unclassified
OTU1470,0,0,0,0,0,0,0,0,0,Unclassified
OTU2562,0,0,0,0,0,0,0,0,0,Unclassified
OTU3081,0,0,0,0,0,0,0,0,0,Unclassified
366584,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU2865,0,0,0,0,0,0,0,0,0,Unclassified
OTU1522,0,0,0,0,0,0,0,0,0,Unclassified
OTU2020,0,0,0,0,0,0,0,0,0,Unclassified
OTU2573,0,0,0,0,0,0,0,0,0,Unclassified
OTU2509,0,0,0,0,0,0,0,0,0,Unclassified
OTU1727,0,0,0,0,0,0,0,0,0,Unclassified
OTU1643,0,0,0,0,0,0,0,0,0,Unclassified
OTU2808,0,0,0,0,0,0,0,0,0,Unclassified
OTU1824,0,0,0,0,0,0,0,0,0,Unclassified
975306,0,6,1,5,10,30,10,2,12,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU438,0,0,0,0,0,0,0,0,0,Unclassified
OTU1991,0,0,0,0,0,0,0,0,0,Unclassified
OTU1749,0,0,0,0,0,0,0,0,0,Unclassified
OTU2412,0,0,0,0,0,0,0,0,0,Unclassified
OTU2305,0,0,0,0,0,0,0,0,0,Unclassified
OTU2524,0,0,0,0,0,0,0,0,0,Unclassified
352304,1,0,1,0,2,1,2,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU3333,0,0,0,0,0,0,0,0,0,Unclassified
OTU1056,0,0,0,0,0,0,0,0,0,Unclassified
560981,0,0,0,0,20,12,16,0,0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__
OTU1645,0,0,0,0,0,0,0,0,0,Unclassified
OTU2283,0,0,0,0,0,0,0,0,0,Unclassified
OTU2898,0,0,0,0,0,0,0,0,0,Unclassified
OTU3241,0,0,0,0,0,0,0,0,0,Unclassified
OTU2445,0,0,0,0,0,0,0,0,0,Unclassified
OTU2666,0,0,0,0,0,0,0,0,0,Unclassified
OTU1900,0,0,0,0,0,0,0,0,0,Unclassified
OTU2430,0,0,0,0,0,0,0,0,0,Unclassified
OTU2331,0,0,0,0,0,0,0,0,0,Unclassified
197069,0,1,0,0,5,3,8,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU1945,0,0,0,0,0,0,0,0,0,Unclassified
OTU774,0,0,0,0,0,0,0,0,0,Unclassified
609964,2774,1915,176,41,0,0,0,188,32,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
OTU3034,0,0,0,0,0,0,0,0,0,Unclassified
OTU3327,0,0,0,0,0,0,0,0,0,Unclassified
OTU1196,0,0,0,0,0,0,0,0,0,Unclassified
OTU2455,0,0,0,0,0,0,0,0,0,Unclassified
1885089,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU2674,0,0,0,0,0,0,0,0,0,Unclassified
539581,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum
OTU2235,0,0,0,0,0,0,0,0,0,Unclassified
367215,74,107,5,2,0,0,0,7,24,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__
319455,5435,5944,380,38,0,1,1,82,138,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
851704,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__
OTU1736,0,0,0,0,0,0,0,0,0,Unclassified
OTU1137,0,0,0,0,0,0,0,0,0,Unclassified
OTU1955,0,0,0,0,0,0,0,0,0,Unclassified
OTU2740,0,0,0,0,0,0,0,0,0,Unclassified
OTU1516,0,0,0,0,0,0,0,0,0,Unclassified
OTU1782,0,0,0,0,0,0,0,0,0,Unclassified
OTU1172,0,0,0,0,0,0,0,0,0,Unclassified
OTU1585,0,0,0,0,0,0,0,0,0,Unclassified
OTU3372,0,0,0,0,0,0,0,0,0,Unclassified
OTU1965,0,0,0,0,0,0,0,0,0,Unclassified
157888,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
191908,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU2481,0,0,0,0,0,0,0,0,0,Unclassified
OTU1086,0,0,0,0,0,0,0,0,0,Unclassified
311173,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__; s__
997439,14,21,7,120,11,125,33,13,37,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
321693,419,409,8,2,0,0,0,3,5,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
591635,0,0,0,0,45,24,30,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU1143,0,0,0,0,0,0,0,0,0,Unclassified
768553,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__
OTU1766,0,0,0,0,0,0,0,0,0,Unclassified
519880,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU1869,0,0,0,0,0,0,0,0,0,Unclassified
OTU1443,0,0,0,0,0,0,0,0,0,Unclassified
OTU659,0,0,0,0,0,0,0,0,0,Unclassified
OTU2229,0,0,0,0,0,0,0,0,0,Unclassified
OTU822,0,0,0,0,0,0,0,0,0,Unclassified
608244,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU987,0,0,0,0,0,0,0,0,0,Unclassified
751862,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
OTU1692,0,0,0,0,0,0,0,0,0,Unclassified
OTU3245,0,0,0,0,0,0,0,0,0,Unclassified
OTU2685,0,0,0,0,0,0,0,0,0,Unclassified
OTU2206,0,0,0,0,0,0,0,0,0,Unclassified
OTU2104,0,0,0,0,0,0,0,0,0,Unclassified
OTU2551,0,0,0,0,0,0,0,0,0,Unclassified
OTU1548,0,0,0,0,0,0,0,0,0,Unclassified
OTU1774,0,0,0,0,0,0,0,0,0,Unclassified
OTU2366,0,0,0,0,0,0,0,0,0,Unclassified
OTU3369,0,0,0,0,0,0,0,0,0,Unclassified
518743,47,56,1972,2195,1,10,1,3795,1736,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula
OTU2668,0,0,0,0,0,0,0,0,0,Unclassified
OTU2626,0,0,0,0,0,0,0,0,0,Unclassified
OTU3222,0,0,0,0,0,0,0,0,0,Unclassified
OTU2279,0,0,0,0,0,0,0,0,0,Unclassified
OTU1521,0,0,0,0,0,0,0,0,0,Unclassified
OTU3099,0,0,0,0,0,0,0,0,0,Unclassified
339992,0,0,0,0,0,2,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU2603,0,0,0,0,0,0,0,0,0,Unclassified
OTU3309,0,0,0,0,0,0,0,0,0,Unclassified
OTU2419,0,0,0,0,0,0,0,0,0,Unclassified
OTU2523,0,0,0,0,0,0,0,0,0,Unclassified
OTU2189,0,0,0,0,0,0,0,0,0,Unclassified
OTU3229,0,0,0,0,0,0,0,0,0,Unclassified
352933,0,0,0,0,1,2,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU3379,0,0,0,0,0,0,0,0,0,Unclassified
OTU2000,0,0,0,0,0,0,0,0,0,Unclassified
165118,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella; s__
OTU2634,0,0,0,0,0,0,0,0,0,Unclassified
366633,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU1922,0,0,0,0,0,0,0,0,0,Unclassified
194373,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU2981,0,0,0,0,0,0,0,0,0,Unclassified
OTU2997,0,0,0,0,0,0,0,0,0,Unclassified
OTU1604,0,0,0,0,0,0,0,0,0,Unclassified
OTU2138,0,0,0,0,0,0,0,0,0,Unclassified
OTU2844,0,0,0,0,0,0,0,0,0,Unclassified
OTU1568,0,0,0,0,0,0,0,0,0,Unclassified
OTU3259,0,0,0,0,0,0,0,0,0,Unclassified
1060029,10,14,0,0,3,0,6,1,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
191043,2925,2221,178,34,0,5,1,54,292,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
369555,0,0,0,0,0,0,0,0,1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU2349,0,0,0,0,0,0,0,0,0,Unclassified
269413,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU1138,0,0,0,0,0,0,0,0,0,Unclassified
OTU3297,0,0,0,0,0,0,0,0,0,Unclassified
565136,0,0,0,0,0,1,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
OTU3370,0,0,0,0,0,0,0,0,0,Unclassified
323829,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU1363,0,0,0,0,0,0,0,0,0,Unclassified
OTU2242,0,0,0,0,0,0,0,0,0,Unclassified
OTU2409,0,0,0,0,0,0,0,0,0,Unclassified
OTU929,0,0,0,0,0,0,0,0,0,Unclassified
535901,0,0,0,0,0,0,0,1,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
OTU3437,0,0,0,0,0,0,0,0,0,Unclassified
OTU2671,0,0,0,0,0,0,0,0,0,Unclassified
OTU2577,0,0,0,0,0,0,0,0,0,Unclassified
210890,0,2,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
269386,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
OTU3354,0,0,0,0,0,0,0,0,0,Unclassified
362991,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU2835,0,0,0,0,0,0,0,0,0,Unclassified
OTU1393,0,0,0,0,0,0,0,0,0,Unclassified
OTU2435,0,0,0,0,0,0,0,0,0,Unclassified
OTU304,0,1,1,1,0,11,2,3,2,Unclassified
OTU1093,0,0,0,0,0,0,0,0,0,Unclassified
OTU1995,0,0,0,0,0,0,0,0,0,Unclassified
OTU1019,0,0,0,0,0,0,0,0,0,Unclassified
OTU3090,0,0,0,0,0,0,0,0,0,Unclassified
OTU2290,0,0,0,0,0,0,0,0,0,Unclassified
OTU1580,0,0,0,0,0,0,0,0,0,Unclassified
OTU2828,0,0,0,0,0,0,0,0,0,Unclassified
OTU1923,0,0,0,0,0,0,0,0,0,Unclassified
OTU1193,0,0,0,0,0,0,0,0,0,Unclassified
1105928,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
OTU1462,0,0,0,0,0,0,0,0,0,Unclassified
OTU2277,0,0,0,0,0,0,0,0,0,Unclassified
OTU1673,0,0,0,0,0,0,0,0,0,Unclassified
OTU1114,0,0,0,0,0,0,0,0,0,Unclassified
OTU3119,0,0,0,0,0,0,0,0,0,Unclassified
OTU2841,0,0,0,0,0,0,0,0,0,Unclassified
OTU299,0,2,1,0,3,6,2,2,2,Unclassified
OTU289,0,1,0,0,3,9,2,2,2,Unclassified
OTU2015,0,0,0,0,2,0,2,0,0,Unclassified
OTU768,0,0,0,0,0,0,0,0,0,Unclassified
OTU3196,0,0,0,0,0,0,0,0,0,Unclassified
OTU1904,0,0,0,0,0,0,0,0,0,Unclassified
OTU2500,0,0,0,0,0,0,0,0,0,Unclassified
4316998,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU1492,0,0,0,0,0,0,0,0,0,Unclassified
OTU2115,0,0,0,0,0,0,0,0,0,Unclassified
OTU1634,0,0,0,0,0,0,0,0,0,Unclassified
OTU1036,0,0,0,0,0,0,0,0,0,Unclassified
OTU2596,0,0,0,0,0,0,0,0,0,Unclassified
OTU1474,0,0,0,0,0,0,0,0,0,Unclassified
OTU1836,0,0,0,0,0,0,0,0,0,Unclassified
509416,18779,25470,28061,25832,105,95,133,5863,7175,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU1469,0,0,0,0,0,0,0,0,0,Unclassified
4338598,0,0,0,0,2,0,2,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
OTU2168,0,0,0,0,0,0,0,0,0,Unclassified
OTU2680,0,0,0,0,0,0,0,0,0,Unclassified
OTU3044,0,0,0,0,0,0,0,0,0,Unclassified
OTU1291,0,0,0,0,0,0,0,0,0,Unclassified
OTU2909,0,0,0,0,0,0,0,0,0,Unclassified
OTU615,0,0,1,0,0,0,0,9,0,Unclassified
193480,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
